model_name,text_name,model_id,max_tokens,temperature,top_k,top_p,round_number,continuation_length,continuation_tokens,generation_time_seconds,generation_time_ms,timestamp,continuation_text,pct_unfamiliar_words,avg_sentence_length,cloze_score,reading_level,word_count,sentence_count,sentence_length_variance,vocabulary_diversity,bigram_repetition_rate,trigram_repetition_rate,unique_word_ratio_100,word_entropy,char_entropy,comma_density,semicolon_density,question_density,exclamation_density,avg_syllables_per_word,long_word_ratio,function_word_ratio,sentence_length_skewness,sentence_length_kurtosis,avg_word_length,adjacent_coherence,global_coherence,local_coherence_3sent,coherence_variance,num_rounds,cloze_score_std,vocab_diversity_std,context_length
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2121,513,29.278495,29278,2025-10-16T09:31:01.678456,"The prophet turned his head, and Harry saw his face clearly now. It was a face of terrible beauty, the features almost too perfect, as though carved from marble and then animated. His eyes were black, and his mouth was set in a line of such sternness it might have been chiseled there. He was scanning the chamber, looking for more prey.

Harry ducked behind a fallen body, his heart hammering. He had no weapon that could harm this man, no magic that could touch him. The prodigile was useless against such power. The gun in his holster would be a joke.

He heard the prophet speak, though the words were not for him.

""Where is he?"" the prophet said. ""Where is the one who came to see the sea?""

Harry held his breath. The prophet was looking in his direction, though not at him. He was looking past him, to the sliver of darkness that had opened to the shore.

""Come out,"" the prophet said, and the words were not spoken aloud, but in Harry's mind, as though they had been pressed into his skull. ""Come out and face me.""

Harry did not move. He could not. The sliver was calling him, and the prophet knew it.

""Come out,"" the prophet said again, and this time Harry felt the words like hooks in his brain. ""Or I will burn them all.""

Harry rose to his feet, his hands raised. The prophet's eyes found him instantly.

""Ah,"" the prophet said, and there was no triumph in his tone, only a kind of weary recognition. ""You.""

Harry stepped forward, his body shaking. ""I didn't come to fight you,"" he said.

The prophet's face did not change. ""Then why did you come?""

""I wanted to see the sea,"" Harry said, and the admission was so simple, so naked, that it shamed him.

The prophet's eyes narrowed. ""You wanted to see the sea,"" he repeated, as if tasting the words. ""And you thought you could simply walk through my door and take what you wanted?""

""I didn't know it was your door,"" Harry said.

The prophet's face twitched, almost a smile. ""No. You didn't. You're not the first to make that mistake."" He lowered the staff slightly. ""You're not even the first to come here for the sea.""

Harry glanced at the bodies around",0.2379,9.31,34.98,7-8,391,42,34.85,0.4731,0.141,0.0463,0.6551,6.8058,4.0836,0.7381,0.0,0.0952,0.0,1.2737,0.133,0.4859,0.7858,-0.2078,4.1304,0.6334,0.7968,0.6319,0.0042,1,0.0,0.0,4096
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2252,513,35.049418,35049,2025-10-16T09:31:38.252602,"The prophet turned his head, and Harry saw his face clearly now. It was not a face he knew, but it was a face he recognized. The features were those of a man who had once been human, but had since been remade by the same forces that had shaped the creatures around him. His eyes were too large, his mouth too small, his skin stretched taut over his skull. He was smiling.

Harry had no time to think before the prophet turned his staff in Harry's direction. The weapon hummed, and Harry felt the air thicken around him, as though the very atmosphere was being compressed. He ducked instinctively, and the blast that followed passed over his head, scorching his hair. He hit the ground, rolling, and came up behind a fallen body, which he used as cover. The prophet was advancing now, his staff raised, his smile still in place.

""Who are you?"" he called out, his words carrying an echo that made Harry's teeth ache.

Harry didn't answer. He reached for his gun, but the prophet was already moving, his staff arcing through the air. Harry threw himself sideways as the blast struck the corpse he'd been hiding behind, turning it to ash in an instant. The prophet's eyes found him, and he fired again, this time at Harry's feet. The blast struck the floor, and the stone beneath Harry's hands cracked, splitting like a struck bell. He scrambled back, but the prophet was already upon him, his staff descending.

Harry caught the blow on his forearm, the impact sending a shock up to his shoulder. He cried out, but the pain was nothing compared to the searing heat that followed. His flesh blistered instantly, the sleeve of his shirt burning away. He rolled again, and came up with his gun drawn.

The prophet didn't flinch. He simply raised his staff, and Harry fired. The bullet struck the prophet's chest, but instead of stopping him, it seemed to excite him. He laughed, a sound like breaking glass, and the wound in his chest began to pulse, the bullet inside him glowing white-hot.

""You dare?"" he said, and the staff came down again.

Harry dodged, but not far enough. The blast caught his side, and he felt his ribs crack. He fell, gasping, the pain so intense it made his vision blur. He tried to raise the gun again, but his arm wouldn't obey.",0.2808,12.69,28.57,9-10,406,32,35.9,0.5049,0.1086,0.0248,0.7087,6.8743,4.0969,1.25,0.0,0.0625,0.0,1.3424,0.1478,0.4138,0.0692,-0.1253,4.3498,0.6654,0.8128,0.661,0.0054,1,0.0,0.0,6144
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2161,513,41.67573,41675,2025-10-16T09:32:21.165258,"The prophet turned his head, and Harry saw his face clearly now. It was not a face of malice, but of terrible purpose. His eyes were not human, but they were not inhuman either. They were the eyes of a man who had seen too much and was now seeing more.

Harry had no time to think. He drew his gun and fired, the shot cracking through the chamber. The prophet did not flinch. The bullet struck his chest, and he staggered back a pace, but did not fall. Instead, he raised his staff and pointed it at Harry.

Harry had time to think, I am dead, before the energy came at him. It was not fire, but something worse: a pulse of pure absence. It struck him in the chest and he felt his body unravel, as though the very atoms of his being were being pulled apart. He had a moment to think of Norma, and then the world was gone.

He was in the sea.

The waves were not water, but something else, something that had the texture of memory. They broke against his legs, and he felt them as a thousand hands, pulling him down, pulling him under. He fought to stay upright, but the tide was too strong. He was dragged under, and the cold was not cold, but a kind of emptiness that made his teeth chatter. He opened his mouth to scream and the sea poured in, not water but absence, and he was drowning in it, drowning in the memory of drowning.

Then, as suddenly as he had been taken, he was back in the chamber, on his knees, retching. The prophet stood before him, his staff lowered.

Harry looked up at him, his body shaking, his vision swimming.

""You are not of the neirica,"" the prophet said, his words like the sound of a tide retreating.

Harry coughed, spitting the taste of the sea from his mouth. ""No,"" he said, his voice raw.

The prophet knelt, bringing his face level with Harry's. His breath smelled of salt and something older, something deeper. ""Then why do you come here?""

Harry's hand found the gun, still in his grip. He raised it, but the prophet caught his wrist before he could fire again.

""You don't understand what you've done,"" Harry said, his voice hoarse.

The prophet's grip was like iron. ""I understand perfectly,"" he replied. ""You've opened",0.2277,11.88,34.17,7-8,404,34,31.74,0.448,0.1241,0.0149,0.6325,6.7206,4.0859,1.2353,0.0,0.0294,0.0,1.302,0.1361,0.4629,0.6463,0.0908,4.1114,0.642,0.7985,0.6456,0.0046,1,0.0,0.0,8192
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2197,513,56.947607,56947,2025-10-16T09:33:19.495328,"The prophet turned his head, and Harry saw his face clearly. It was a face of such terrible beauty it made his breath catch. The eyes were black, the mouth a perfect bow, the skin flawless. He was smiling, but not with pleasure. It was a smile of pure, cold purpose.

Harry had seen that smile before, in the mirror, in the faces of the dying, in the faces of the damned. It was the smile of the Iad.

The prophet had seen him too. His gaze locked with Harry’s, and the smile deepened. He raised his staff, and Harry had no time to think, only to act. He ducked as the fire came, and it passed over his head, scorching the air where he had stood a second before. He rolled, and came up behind a fallen body, using it as cover. The prophet was advancing now, his staff still raised, his eyes fixed on Harry.

Harry reached for his gun, but the prophet was already upon him, the staff descending. He rolled again, and the weapon struck the corpse he was sheltering behind, turning it to ash in an instant.

Harry was on his feet now, backing away, his gun in his hand. The prophet did not even glance at the weapon. He simply raised his staff again, and Harry fired. The bullet struck the prophet in the chest, and he staggered, but did not fall. Instead, he laughed, and the sound was like the breaking of ice.

Harry fired again, and again, and again, each shot finding its mark. The prophet did not bleed. He simply advanced, the wounds closing as he came, the bullets falling from his body like spent cartridges.

Harry had no time to reload. He turned and ran, the prophet at his heels, the staff spitting fire. It caught him in the back of the thigh, and the pain was exquisite. He stumbled, but did not fall, and reached the edge of the chamber, where Ted was waiting, his face a mask of horror.

“What the hell is that thing?” Ted yelled.

Harry didn’t answer. He simply grabbed Ted by the arm and hauled him up the stairs, the prophet’s laughter following them.

They were halfway up when the staff struck the wall beside them, and the brickwork dissolved into dust. Harry felt the heat of the blast at his back, and the next shot of fire caught his shoulder, turning the flesh to ash as it",0.2657,12.55,30.1,9-10,414,33,35.19,0.4372,0.1598,0.034,0.6276,6.578,4.0776,1.3333,0.0,0.0303,0.0,1.2995,0.1256,0.4565,0.3022,-0.6546,4.1063,0.6632,0.8053,0.6611,0.0031,1,0.0,0.0,12288
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2139,513,75.776289,75776,2025-10-16T09:34:36.641133,"The prophet turned his head, and Harry saw his face clearly. It was not a face he knew, but it was a face he recognized. It was the face of a man who had once been human, and had since been remade. The eyes were too large, the mouth too small, the skin too pale. He had the look of a man who had been hollowed out and refilled with something else.

Harry had no time to dwell on this. The prophet had seen him.

The staff was raised again, and Harry ducked, the blast passing over his head, scorching the air where he had stood a second before. He rolled, and came up behind a fallen body, which he used as cover. The prophet was advancing now, his staff still raised, his face showing no particular malice, only a kind of weary purpose.

Harry drew his gun, but the prophet was already moving, and the blast that came from the staff was not a bolt this time, but a wave of force that lifted Harry off his feet and slammed him against the wall. His head cracked against brick, and for a moment the world was a kaleidoscope of pain. He slid down the wall, his gun falling from his hand.

The prophet was upon him before he could recover it, the staff now a weapon of a different kind. He pressed it against Harry’s chest, and Harry felt the cold of it seep into his flesh, into his bones.

“You are not of the neirica,” the prophet said, his words like the sound of a tide retreating.

Harry tried to speak, but the cold had reached his throat.

“You are not of the neirica,” the prophet repeated, and now the cold was in his skull, in his teeth, in his eyes.

Harry fought to keep his gaze on the prophet, but the cold was making his vision swim. He saw the staff, its surface like a length of bone, and the prophet’s face above it, his mouth moving, forming words Harry could no longer hear.

Then the cold was in his thoughts, and he was no longer in the chamber at all, but in a place of shifting light, where the prophet stood before him, his staff now a staff of light, and his face a mask of light.

“You are not of the neirica,” the prophet said again, and now Harry could hear him, though the words were not spoken aloud. They were",0.226,18.09,30.05,9-10,416,23,96.45,0.4038,0.1807,0.0676,0.6159,6.4877,4.0719,1.7826,0.0,0.0,0.0,1.2644,0.1082,0.4639,1.0023,0.9767,3.976,0.6754,0.8183,0.6815,0.0056,1,0.0,0.0,16384
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2069,513,122.968741,122968,2025-10-16T09:36:40.770497,"Harry had no time to watch her death. The prophet had already turned his attention to the next victim, and the next, and the next. He was moving through the chamber with the ease of a man in a dream, his staff never still, his face never changing. The only sign of exertion was the sweat on his brow, which glistened in the failing light.

Harry backed away, but the prophet had already seen him. His gaze fixed on Harry, and the staff turned in his direction.

Harry had no time to draw his gun. The fire was already coming, and he had to throw himself to the ground to avoid it. It passed over his head, and struck the wall behind him, burning a hole in the brickwork.

“You shouldn’t be here,” the prophet said, his words carrying across the chamber.

Harry got to his feet, his heart hammering. He had no doubt that the next burst would not miss. He had to speak, to distract the prophet, to make himself human to him.

“You don’t know me,” he said.

The prophet paused, his staff half-raised. His face was lined, his beard streaked with gray, but his eyes were young. They were the eyes of a man who had never known doubt.

“You don’t know me,” Harry repeated, backing away as he spoke. The prophet lowered the staff a fraction.

“No, I don’t,” he said. His tone was almost gentle. He looked at Harry with curiosity. “But you know me, don’t you? You know what I am, what I do. You know the Iad, don’t you? You know the name of the Uroboros. You know the name of the Beast. You know the name of the Serpent. You know the name of the—”

“Yes, I know the name,” Harry said, his voice steady despite the terror in his gut.

The prophet smiled. It was a terrible smile, because it was not cruel. It was beatific.

“Then you know why I do this,” he said. He gestured to the dying around him. “They were weak. They wanted to go back too soon. They wanted to go back before the blessing came. I can’t allow that. They would have been lost in the sea, and the Iad would have found them, and eaten them. I can’t allow that. I have to keep them here, until the blessing comes",0.2645,9.68,32.19,9-10,397,41,26.02,0.4458,0.1919,0.0734,0.6093,6.6536,4.0817,0.8293,0.0,0.0488,0.0,1.2594,0.1108,0.4811,0.8721,-0.0503,4.0202,0.6569,0.7844,0.654,0.0094,1,0.0,0.0,24576
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2135,513,184.1186,184118,2025-10-16T09:39:46.562428,"Harry had no time to retreat. The prophet had already turned his attention to him, and the staff was raised again. He ducked, and the blast of fire went over his head, striking the wall behind him. The heat was intense, but not lethal. He felt his hair singe, and the skin of his back blister, but he was still standing.

The prophet advanced, his face now visible in the dying light of the Borealis. It was a face Harry knew, though he had never seen it before. It was the face of a man who had once been human, but had been so long in the service of the Iad that the flesh had been corrupted, the features stretched and twisted. The eyes were the worst of it: they were not eyes at all, but a single, burning orb, set in the center of the forehead.

“You,” the prophet said, his voice a rumble. He spoke with a sound like the sea, and the sea was in his face, in the way the flesh of his brow and cheekbones had been eroded by the tides. His beard was not beard at all, but a mass of seaweed, his hair a tangle of kelp.

Harry backed away, but the prophet was already upon him, the staff coming down in a second arc. This time Harry caught hold of it, and the contact was like a live wire. His fingers were burned instantly, but he held on, and the prophet, plainly surprised by his defiance, let out a roar of rage.

Harry had no time to think. He simply pulled the staff towards him, and as he did so the prophet stumbled forward, off balance. Harry let go of the weapon, and drove his fist into the creature’s face. The impact was sickening, his knuckles sinking into the flesh of the cheek, which was as soft as rotted fruit. The prophet reeled back, but did not fall. Instead, he raised his hands, and Harry felt the air around him thicken, as though the very atmosphere had become a weapon. It pressed against his chest, his throat, his face, and he was forced to his knees.

The prophet came closer, and Harry saw the wound he had inflicted on the creature’s face had already healed. The flesh had knitted itself back together, and the seaweed beard had grown over the damage, as though the wound had never been.

“You have no",0.2347,16.36,30.41,9-10,409,25,58.16,0.4499,0.1373,0.0221,0.6329,6.5671,4.0275,1.64,0.0,0.0,0.0,1.291,0.1296,0.4597,0.3112,-0.3269,4.0513,0.6478,0.8104,0.6496,0.0041,1,0.0,0.0,32768
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,1664,513,343.818667,343818,2025-10-16T09:45:31.907304, “Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us? Why do you do this to us,0.1429,7.0,45.6,4,448,64,0,0.0179,0.9799,0.9798,0.0601,2.5548,3.0578,0.0,0.0,0.9844,0.0,1.0,0.0,0.7165,0.0,0.0,2.7143,0.9998,0.9998,0.9999,0.0,1,0.0,0.0,49152
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2137,513,559.757376,559757,2025-10-16T09:54:54.519473,"The staff struck again, and the creature fell, her body unraveling as she went. The fire that had been in her mouth and throat now poured from her in a flood, and the light that had been in her eyes went out like a snuffed candle.

Harry turned from the sight, and ran for the exit. The chamber was no longer a place of mystery, but a place of slaughter. The veils were falling, the bodies of the dead or dying caught in them, their wounds still bleeding, their mouths still open in their last cries.

He reached the stairs, and started up them, his breath coming in ragged gasps. Behind him the chamber was still shaking, but the sounds of agony were dying. He heard the last of the victims fall, and the last of the veils collapse, and the last of the light go out.

Ted was waiting at the top of the stairs, his face pale in the gloom.

“What the hell happened down there, Harry? What the hell did you do to them? ”

Harry didn’t stop to answer. He just kept climbing, his hands shaking, his breath coming in sobs. He reached the street, and the night air was a relief after the chamber’s stench.

Ted caught hold of him, and pulled him round to face him. His face was inches from Harry’s, his breath hot and fast.

“You killed them all, didn’t you? You killed them all? ”

Harry nodded, his throat too tight to speak.

Ted let go of him, and stepped back. His face was a mask of disgust. He looked down at the chamber, where the last of the light was dying, and the last of the bodies falling.

“You didn’t have to do that, Harry. You didn’t have to do that. They were just—just—” He stopped, his voice breaking. Then, with a sudden, terrible clarity: “They were just exiles, Harry. They were just exiles, and you killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You killed them all. You",0.2611,8.64,33.24,7-8,406,47,42.68,0.3793,0.3333,0.2525,0.5857,6.2826,4.0851,0.6596,0.0,0.0851,0.0,1.2217,0.0739,0.5172,1.662,2.5848,4.0616,0.8026,0.8403,0.7913,0.033,1,0.0,0.0,65536
koboldcpp/Muse-12B.i1-Q6_K,everville.txt,ROPE-32768,512,0.0,1,0.01,1,2024,513,1151.570458,1151570,2025-10-16T10:14:09.478899,"The creature was not done. It struck again, and again, and again, and the victim was not felled. The fire climbed up her skull, and she was not dead. She was not even unconscious. She was not even in agony. She was in a state of pure, unrelenting pain, and the staff was still in her wounder’s hand, still striking her.

Harry saw the creature raise its staff a fourth time, and the victim (who had been a woman, he now saw, her face a ruin of blood and teeth) was not dead. She was not even screaming. She was in a state of pure, unrelenting agony, and the staff was still in her wounder’s hand, still striking her.

Harry saw the creature raise its staff a fifth time, and the victim (who had been a woman, he now saw, her face a ruin of blood and teeth) was not dead. She was not even screaming. She was in a state of pure, unreling agony, and the staff was still in her wounder.

Harry saw the creature raise its staff a sixth time, and the victim (who had been a woman, he now saw, her face a ruin of blood and teeth) was not dead. She was not even screaming. She was in a state of pure, unreling agony, and the staff was still in her wounder.

Harry saw the creature raise its staff a seventh time, and the victim (who had been a woman, he now saw, her face a ruin of blood and teeth) was not dead. She was not even screaming. She was in a state of pure, unreling agony, and the staff was still in her wounder.

Harry saw the creature raise its staff an eighth time, and the victim (who had been a woman, he now saw, her face a ruin of blood and teeth) was not dead. She was not even screaming. She was in a state of pure, unreling agony, and the staff was still in her wounder.

Harry saw the creature raise its staff a ninth time, and the victim (who had been a woman, he now saw, her face a ruin of blood and teeth) was not dead. She was not even screaming. She was in a state of pure, unreling agony, and the staff was still in her wounder.

Harry saw the creature raise its staff a tenth time, and the victim (who",0.1712,16.12,36.61,7-8,403,25,112.36,0.1464,0.7612,0.7132,0.3986,5.2705,3.9622,1.56,0.0,0.0,0.0,1.2233,0.0819,0.4417,0.4048,-1.3642,3.8189,0.7242,0.8825,0.7218,0.0034,1,0.0,0.0,98304
